V1,V2,V3,V4
-0.425838,0.681543,-1.45389,-2.58455
1.03004,-0.161188,-0.0327746,0.455882
-0.316212,-0.437349,1.03045,1.08384
-0.463365,-1.45428,1.58447,-0.154088
0.464252,-0.523795,1.39378,0.592848
0.306787,-1.95445,-0.769443,-2.98577
0.73975,0.0112732,0.0106142,-0.17181
2.69797,0.648987,0.403001,-0.485149
4.03891,1.91844,1.11809,-0.208404
3.61393,1.21576,0.837533,1.22429
3.74835,1.44789,2.58383,4.51227
1.58976,-0.386392,-0.0287545,3.39293
3.23601,0.38284,1.96256,4.6744
1.87727,0.00767195,-0.469854,2.71727
-2.22786,-1.93428,-3.44821,-1.36477
-1.75472,-0.913337,-1.13079,-0.567827
-2.73235,1.29352,0.762201,-2.73781
-2.51622,0.594382,2.13413,-2.15132
-6.25914,1.07941,2.67074,-1.06739
-4.52789,0.482498,3.19226,-1.25481
0.660086,2.47368,0.659866,0.177755
3.43659,1.0448,-0.835116,0.591954
0.760312,2.46556,0.291266,0.729569
-2.75826,-3.94765,-3.34405,-1.93446
-0.88601,-2.61157,-4.28608,-2.11582
2.72477,-0.757791,-2.40787,0.156767
1.1641,-2.68062,-1.41361,-0.266568
-2.67495,-2.69752,-1.63379,-1.63295
0.479055,-1.29834,-0.108579,0.245396
0.689177,-0.778411,-1.5801,-0.0145057
0.385223,-1.34904,-2.2416,0.607283
1.88082,0.179366,2.12538,3.81146
3.75705,0.260699,0.987399,3.76065
5.59968,2.14143,3.39172,3.54411
3.00428,-0.318129,0.245755,0.670181
-0.106033,3.86214,4.73229,2.88114
-1.45873,0.44293,0.96138,-0.876123
0.109297,2.59161,4.81293,-0.679397
-0.716008,-0.372585,1.75248,-1.67581
-2.40941,-0.168844,1.1023,-0.897652
-2.28681,-1.07875,-1.08491,-2.61657
-3.50852,0.225742,-3.3365,-3.41839
-3.43432,3.34135,-0.831089,-2.56433
-3.90004,1.43966,-3.56344,-2.25933
-1.14724,-0.995707,-3.7753,-1.57396
1.46919,1.65039,-2.08399,0.234093
0.811403,0.0259066,-0.799715,0.348156
-0.650708,-0.752521,-0.494144,1.0751
-2.86872,1.54838,0.120399,1.29345
0.309359,1.41561,1.66225,2.44425
1.36973,-0.967787,-0.368098,0.508236
2.71266,-2.39518,3.76349,1.48736
3.16309,-1.72635,3.02964,0.775107
2.56767,-0.369315,-0.159373,-0.0138807
3.16771,-1.06094,0.57952,-0.125959
2.43475,-0.00308621,1.22997,0.49213
-0.375248,-3.76735,-0.736086,-2.19625
1.6589,-2.69863,-0.735752,-0.514397
0.761846,-1.40692,-3.28027,-0.443028
-0.735863,-1.3304,-1.41662,0.300525
-3.96467,0.363734,-2.61411,-0.77186
-2.13474,3.27538,2.25454,1.37533
0.826023,0.777568,3.39776,2.42516
-4.46352,0.158049,-1.75507,-0.429516
-2.18689,0.0570146,-1.07785,0.19009
-0.479521,-1.25848,-2.06221,-1.41902
1.3266,1.7368,-1.97986,-2.24022
0.877861,-1.29086,-1.54876,-2.73422
0.856572,1.61669,1.37313,0.532575
3.37601,0.568594,1.44246,1.81139
3.49579,2.46666,1.73522,2.01784
-0.213301,1.06866,1.52475,0.384278
-3.16392,-0.890421,1.5277,0.0758609
-0.177821,1.82822,3.88071,2.16784
0.0602433,0.513612,2.0677,-0.773156
-1.78288,-1.86709,0.500077,-0.789816
-1.28846,-0.03322,1.44377,2.84442
-0.754463,1.97492,2.76987,1.85216
-0.113436,1.80448,-1.13926,-1.09586
-1.28942,1.70448,-1.61167,-2.44896
-1.18556,-0.737582,0.0173588,-1.40453
